City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vila franca do campo,37.7167,-25.4333,57.2,69,100,4.05,PT,1644811154
mataura,-46.1927,168.8643,70.9,39,100,5.77,NZ,1644810637
arraial do cabo,-22.9661,-42.0278,75.07,93,9,15.28,BR,1644810717
carnarvon,-24.8667,113.6333,86.07,74,6,12.66,AU,1644810639
skjervoy,70.0311,20.9714,32.14,61,100,22.17,NO,1644811154
tasiilaq,65.6145,-37.6368,22.42,85,100,25.05,GL,1644811154
vangaindrano,-23.35,47.6,75.38,88,44,2.73,MG,1644811155
khatanga,71.9667,102.5,-26.57,100,56,2.77,RU,1644810640
cape town,-33.9258,18.4232,68.41,79,20,20.71,ZA,1644811155
alugan,12.2188,125.4808,81.73,67,100,9.82,PH,1644811155
albany,42.6001,-73.9662,20.48,64,34,7.0,US,1644810637
atuona,-9.8,-139.0333,77.31,80,22,13.73,PF,1644810641
isangel,-19.55,169.2667,89.71,70,40,6.91,VU,1644810894
clyde river,70.4692,-68.5914,-14.57,76,100,26.46,CA,1644810708
vila velha,-20.3297,-40.2925,75.15,95,40,3.44,BR,1644810479
yumen,40.2833,97.2,31.57,32,28,15.59,CN,1644810711
port blair,11.6667,92.75,80.64,65,40,11.5,IN,1644811156
rikitea,-23.1203,-134.9692,78.91,71,2,14.07,PF,1644810636
punta arenas,-53.15,-70.9167,42.91,61,20,12.66,CL,1644810633
mahebourg,-20.4081,57.7,82.26,94,75,9.22,MU,1644811156
puerto ayora,-0.7393,-90.3518,73.54,94,97,2.68,EC,1644811157
iqaluit,63.7506,-68.5145,-16.87,63,100,5.75,CA,1644811157
belyy yar,53.6039,91.3903,-13.11,84,99,0.0,RU,1644811157
hithadhoo,-0.6,73.0833,82.35,72,73,13.18,MV,1644811157
plettenberg bay,-34.0527,23.3716,66.92,91,100,13.87,ZA,1644811158
minab,27.1467,57.0801,58.5,41,22,19.15,IR,1644811158
fort nelson,58.8053,-122.7002,2.79,78,75,4.61,CA,1644811158
llangefni,53.2556,-4.3106,44.38,87,100,21.85,GB,1644811159
asfi,32.2994,-9.2372,55.27,82,14,7.65,MA,1644811159
avarua,-21.2078,-159.775,77.05,88,20,8.05,CK,1644810611
qaanaaq,77.484,-69.3632,-7.94,68,77,7.67,GL,1644811159
paredon,16.0333,-93.8667,74.25,62,91,29.12,MX,1644811160
lufilufi,-13.8745,-171.5986,83.98,76,71,5.03,WS,1644811160
busselton,-33.65,115.3333,87.04,40,0,5.1,AU,1644810714
kizhinga,51.8462,109.9097,-9.11,84,84,2.42,RU,1644811160
hobart,-42.8794,147.3294,74.01,60,75,10.36,AU,1644810644
bubaque,11.2833,-15.8333,77.95,59,0,4.09,GW,1644811161
bredasdorp,-34.5322,20.0403,65.52,77,100,5.75,ZA,1644810636
broome,42.2506,-75.833,13.17,78,0,6.91,US,1644810638
kodiak,57.79,-152.4072,33.31,75,0,3.44,US,1644810711
kavieng,-2.5744,150.7967,83.68,73,92,5.79,PG,1644811161
liverpool,53.4106,-2.9779,45.28,92,100,19.57,GB,1644810858
kapaa,22.0752,-159.319,73.72,65,0,18.41,US,1644810707
arlit,18.7369,7.3853,63.43,13,0,4.88,NE,1644811222
tual,-5.6667,132.75,80.76,75,83,7.87,ID,1644811223
faanui,-16.4833,-151.75,81.1,75,100,11.9,PF,1644810971
samarai,-10.6167,150.6667,83.48,70,84,9.73,PG,1644810640
okhotsk,59.3833,143.3,-0.49,75,0,13.76,RU,1644811092
airai,-8.9266,125.4092,74.86,56,26,2.57,TL,1644810638
carutapera,-1.195,-46.02,77.02,90,100,6.35,BR,1644811035
beyneu,45.3167,55.2,28.09,73,6,15.32,KZ,1644811223
binga,-17.6203,27.3414,69.57,84,22,2.08,ZW,1644811224
hambantota,6.1241,81.1185,79.14,89,75,11.5,LK,1644810643
new norfolk,-42.7826,147.0587,73.65,47,83,1.01,AU,1644810637
eloy,32.7559,-111.5548,67.35,20,0,4.72,US,1644811225
yellowknife,62.456,-114.3525,-22.45,87,20,2.3,CA,1644810989
port alfred,-33.5906,26.891,68.05,84,79,16.96,ZA,1644810642
beringovskiy,63.05,179.3167,-22.54,96,37,9.66,RU,1644811225
komsomolskiy,40.4272,71.7189,40.35,81,100,4.61,UZ,1644811226
kamaishi,39.2667,141.8833,39.58,42,7,4.72,JP,1644811226
hermanus,-34.4187,19.2345,66.9,77,85,18.95,ZA,1644810712
keokuk,40.3973,-91.3849,18.09,73,75,8.05,US,1644811227
vao,-22.6667,167.4833,80.35,81,99,14.54,NC,1644811227
klaksvik,62.2266,-6.589,32.92,64,100,26.98,FO,1644810718
ongole,15.5,80.05,79.02,65,23,8.93,IN,1644811227
ulladulla,-35.35,150.4667,87.76,45,92,16.2,AU,1644810643
lingyuan,41.24,119.4011,14.95,52,65,14.45,CN,1644811228
ushuaia,-54.8,-68.3,40.66,70,40,26.46,AR,1644810541
pevek,69.7008,170.3133,-16.67,98,100,8.01,RU,1644811228
anadyr,64.75,177.4833,-32.01,66,20,13.42,RU,1644811229
matay,28.419,30.7792,49.66,81,4,12.8,EG,1644811229
narsaq,60.9167,-46.05,21.42,94,100,6.6,GL,1644811229
goure,13.9835,10.2704,63.03,13,0,8.01,NE,1644811229
vestmannaeyjar,63.4427,-20.2734,34.47,84,100,31.54,IS,1644811230
saint-francois,46.4154,3.9054,52.41,62,0,13.8,FR,1644811230
tiksi,71.6872,128.8694,-10.59,90,27,9.31,RU,1644810717
binzhou,37.3667,118.0167,31.26,39,83,10.92,CN,1644811231
cherskiy,68.75,161.3,-22.0,97,94,5.84,RU,1644811231
virginia beach,36.8529,-75.978,36.01,77,100,5.01,US,1644811021
naze,28.3667,129.4833,57.54,76,100,18.75,JP,1644811231
jamestown,42.097,-79.2353,12.29,100,99,2.15,US,1644811154
thompson,55.7435,-97.8558,-22.02,100,64,4.34,CA,1644811232
castro,-24.7911,-50.0119,63.82,91,82,1.5,BR,1644811232
san cristobal,7.7669,-72.225,65.68,77,96,1.5,VE,1644811232
manikpur,25.0667,81.1167,66.45,32,0,2.3,IN,1644811233
pendleton,45.6721,-118.7886,44.98,72,65,4.16,US,1644811233
manokwari,-0.8667,134.0833,81.91,72,100,6.6,ID,1644811234
lixourion,38.2019,20.4314,50.41,78,7,3.83,GR,1644811234
lavrentiya,65.5833,-171.0,-21.24,93,12,5.17,RU,1644811294
mudon,16.2578,97.7164,88.43,26,27,3.0,MM,1644811295
east london,-33.0153,27.9116,68.94,100,100,13.8,ZA,1644810712
faya,18.3851,42.4509,49.17,61,9,2.75,SA,1644811295
ashti,19.3833,76.2333,75.63,22,9,8.32,IN,1644811295
stornoway,58.2093,-6.3865,40.96,88,75,23.02,GB,1644811296
lebu,-37.6167,-73.65,56.17,93,97,6.15,CL,1644811275
muros,42.7762,-9.0603,54.84,94,15,17.4,ES,1644811296
saint-philippe,-21.3585,55.7679,80.19,80,31,11.05,RE,1644811296
mayo,38.8876,-76.5119,31.12,66,0,8.05,US,1644811087
longyearbyen,78.2186,15.6401,9.59,96,99,1.14,SJ,1644810719
kojnare,43.35,24.1333,34.74,75,64,1.3,BG,1644811297
vaini,-21.2,-175.2,80.13,71,91,16.04,TO,1644811297
kutum,14.2,24.6667,56.41,22,4,7.76,SD,1644811002
nchelenge,-9.3451,28.734,68.61,88,100,7.27,ZM,1644811297
port hedland,-20.3167,118.5667,98.65,39,13,12.66,AU,1644811297
santiago del estero,-27.7951,-64.2615,67.62,43,7,4.5,AR,1644811298
ponta do sol,32.6667,-17.1,61.05,74,94,1.77,PT,1644811298
riachao,-7.3619,-46.6172,70.57,97,100,4.07,BR,1644811298
huarmey,-10.0681,-78.1522,72.39,79,91,7.49,PE,1644811299
zhanaozen,43.3,52.8,24.71,87,26,5.06,KZ,1644811299
slave lake,55.2834,-114.769,20.5,89,100,4.9,CA,1644811299
provideniya,64.3833,-173.3,-7.49,71,0,8.95,RU,1644811300
lakes entrance,-37.8811,147.981,93.58,58,9,10.16,AU,1644811300
marienburg,54.0359,19.0266,37.06,75,97,14.92,PL,1644811300
nagua,19.3832,-69.8474,71.94,90,8,3.83,DO,1644811301
bethel,41.3712,-73.414,25.56,64,59,4.0,US,1644811094
hasaki,35.7333,140.8333,45.28,55,100,25.59,JP,1644811301
ancud,-41.8697,-73.8203,58.53,95,20,1.83,CL,1644810714
saskylakh,71.9167,114.0833,-15.03,95,21,4.0,RU,1644811301
dikson,73.5069,80.5464,-5.8,91,70,22.32,RU,1644811233
butaritari,3.0707,172.7902,81.3,77,62,12.66,KI,1644811302
poum,-20.2333,164.0167,82.94,76,94,9.62,NC,1644811302
deputatskiy,69.3,139.9,-10.7,95,96,4.47,RU,1644810656
petropavlovsk-kamchatskiy,53.0452,158.6483,21.79,68,75,8.95,RU,1644810709
nikolskoye,59.7035,30.7861,37.87,92,100,11.3,RU,1644811302
ahipara,-35.1667,173.1667,70.43,57,13,11.77,NZ,1644811303
dalian,38.9122,121.6022,19.33,73,100,15.66,CN,1644811073
katsuura,35.1333,140.3,48.11,64,99,22.39,JP,1644811303
buala,-8.145,159.5921,79.34,86,100,3.49,SB,1644811303
manaus,-3.1019,-60.025,79.29,94,75,3.44,BR,1644811201
khani,41.9563,42.9566,36.97,79,100,6.89,GE,1644811304
caluquembe,-13.7833,14.6833,56.17,67,78,4.59,AO,1644811304
kaeo,-35.1,173.7833,76.32,56,12,5.19,NZ,1644811304
norman wells,65.282,-126.8329,-7.56,71,75,2.3,CA,1644811087
paragominas,-2.9667,-47.4833,72.14,98,100,1.54,BR,1644811364
eldorado,-23.7869,-54.2836,74.08,63,84,2.39,BR,1644811365
geraldton,-28.7667,114.6,86.41,58,6,10.36,AU,1644811365
